,property_type,seller,status,rate per sqft,price,area,location,RERA
155,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.1 Cr,1975 ,Jeedimetla,approval by RERA
156,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.06 Cr,1910 ,Jeedimetla,approval by RERA
157,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.14 Cr,2040 ,Jeedimetla,approval by RERA
158,4 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.62 Cr,2910 ,Jeedimetla,approval by RERA
159,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.1 Cr,1980 ,Jeedimetla,approval by RERA
160,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.13 Cr,2030 ,Jeedimetla,approval by RERA
161,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 61.6 L,1100 ,Jeedimetla,approval by RERA
162,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.02 Cr,1830 ,Jeedimetla,approval by RERA
163,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 68.88 L,1230 ,Jeedimetla,approval by RERA
164,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 89.88 L,1605 ,Jeedimetla,approval by RERA
165,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.16 Cr,2080 ,Jeedimetla,approval by RERA
166,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.39 Cr,2495 ,Jeedimetla,approval by RERA
167,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 66.92 L,1195 ,Jeedimetla,approval by RERA
168,4 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.69 Cr,3030 ,Jeedimetla,approval by RERA
169,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.07 Cr,1915 ,Jeedimetla,approval by RERA
170,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.45 Cr,2590 ,Jeedimetla,approval by RERA
171,4 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.76 Cr,3150 ,Jeedimetla,approval by RERA
172,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.23 Cr,2200 ,Jeedimetla,approval by RERA
173,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 63.56 L,1135 ,Jeedimetla,approval by RERA
174,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,600 / sq ft", 1.04 Cr,1865 ,Jeedimetla,approval by RERA
175,3 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 93.69 L,1735 ,Yapral,approval by RERA
176,2 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 65.88 L,1220 ,Yapral,approval by RERA
177,3 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 93.69 L,1735 ,Yapral,approval by RERA
178,3 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 89.1 L,1650 ,Yapral,approval by RERA
179,2 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 65.88 L,1220 ,Yapral,approval by RERA
180,2 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,407 / sq ft", 63.8 L,1180 ,Yapral,approval by RERA
181,3 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 89.1 L,1650 ,Yapral,approval by RERA
182,3 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 94.5 L,1750 ,Yapral,approval by RERA
183,2 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,407 / sq ft", 63.8 L,1180 ,Yapral,approval by RERA
184,2 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 64.8 L,1200 ,Yapral,approval by RERA
185,3 BHK Apartment in G K Zenith,G K Constructions,Under Construction,"5,400 / sq ft", 94.5 L,1750 ,Yapral,approval by RERA
186,2 BHK Apartment in Srija Twin Towers,Srija Infra Developers Hyderabad,Under Construction,"4,800 / sq ft", 50.49 L,1052 ,Dammaiguda,approval by RERA
187,2 BHK Apartment in Srija Twin Towers,Srija Infra Developers Hyderabad,Under Construction,"4,800 / sq ft", 59.85 L,1247 ,Dammaiguda,approval by RERA
188,3 BHK Apartment in Srija Twin Towers,Srija Infra Developers Hyderabad,Under Construction,"4,800 / sq ft", 69.98 L,1458 ,Dammaiguda,approval by RERA
189,2 BHK Apartment in Srija Twin Towers,Srija Infra Developers Hyderabad,Under Construction,"4,800 / sq ft", 57.6 L,1200 ,Dammaiguda,approval by RERA
190,2 BHK Apartment in Vasavi Metropolis,Vasavi Group,Under Construction,"5,705 / sq ft", 60.7 L,1065 ,Uppal Kalan,approval by RERA
191,3 BHK Apartment in Vasavi Metropolis,Vasavi Group,Under Construction,"5,700 / sq ft", 97.18 L,1705 ,Uppal Kalan,approval by RERA
192,3 BHK Apartment in Vasavi Metropolis,Vasavi Group,Under Construction,"5,700 / sq ft", 78.66 L,1380 ,Uppal Kalan,approval by RERA
193,2 BHK Apartment in Vasavi Metropolis,Vasavi Group,Under Construction,"5,700 / sq ft", 68.11 L,1195 ,Uppal Kalan,approval by RERA
194,3 BHK Apartment in Vasavi Metropolis,Vasavi Group,Under Construction,"5,700 / sq ft", 1.02 Cr,1790 ,Uppal Kalan,approval by RERA
195,3 BHK Apartment in Vasavi Metropolis,Vasavi Group,Under Construction,"5,700 / sq ft", 92.91 L,1630 ,Uppal Kalan,approval by RERA
196,3 BHK Apartment in GHR Callisto,GHR Infra,Under Construction,"4,799 / sq ft", 91.9 L,1915 ,Kollur,approval by RERA
197,3 BHK Apartment in GHR Callisto,GHR Infra,Under Construction,"4,799 / sq ft", 77.98 L,1625 ,Kollur,approval by RERA
198,3 BHK Apartment in GHR Callisto,GHR Infra,Under Construction,"4,799 / sq ft", 68.62 L,1430 ,Kollur,approval by RERA
199,2 BHK Apartment in G K Festoon,G K Constructions,Ready to move,"5,400 / sq ft", 72.63 L,1345 ,Sainikpuri,not approval by RERA
200,3 BHK Apartment in G K Festoon,G K Constructions,Ready to move,"5,400 / sq ft", 99.79 L,1848 ,Sainikpuri,not approval by RERA
201,3 BHK Apartment in G K Festoon,G K Constructions,Ready to move,"5,400 / sq ft", 1.1 Cr,2050 ,Sainikpuri,not approval by RERA
202,3 BHK Apartment in G K Festoon,G K Constructions,Ready to move,"5,400 / sq ft", 1.05 Cr,1955 ,Sainikpuri,not approval by RERA
203,3 BHK Apartment in G K Festoon,G K Constructions,Ready to move,"5,400 / sq ft", 1.07 Cr,1992 ,Sainikpuri,not approval by RERA
204,4 BHK Villa in Vishal Sanjivini,Vishal Projects Limited,Under Construction,"9,666 / sq ft", 4.57 Cr,4738 ,Maheshwaram,approval by RERA
205,4 BHK Villa in Vishal Sanjivini,Vishal Projects Limited,Under Construction,"9,009 / sq ft", 3.19 Cr,3552 ,Maheshwaram,approval by RERA
206,4 BHK Villa in Vishal Sanjivini,Vishal Projects Limited,Under Construction,"9,215 / sq ft", 2.95 Cr,3212 ,Maheshwaram,approval by RERA
207,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.28 Cr,1885 ,Manchirevula,approval by RERA
208,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.23 Cr,1818 ,Manchirevula,approval by RERA
209,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.39 Cr,2050 ,Manchirevula,approval by RERA
210,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.39 Cr,2047 ,Manchirevula,approval by RERA
211,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.16 Cr,1717 ,Manchirevula,approval by RERA
212,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 1.16 Cr,1635 ,Narsingi,approval by RERA
213,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 1.16 Cr,1635 ,Narsingi,approval by RERA
214,2 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 87.7 L,1290 ,Manchirevula,approval by RERA
215,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 1.6 Cr,2255 ,Narsingi,approval by RERA
216,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 1.6 Cr,2255 ,Narsingi,approval by RERA
217,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.25 Cr,1853 ,Manchirevula,approval by RERA
218,2 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 94.06 L,1325 ,Narsingi,approval by RERA
219,2 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 94.06 L,1325 ,Narsingi,approval by RERA
220,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.4 Cr,2063 ,Manchirevula,approval by RERA
221,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 1.37 Cr,1935 ,Narsingi,approval by RERA
222,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"7,099 / sq ft", 1.37 Cr,1935 ,Narsingi,approval by RERA
223,4 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,799 / sq ft", 3.96 Cr,5080 ,Gandipet,approval by RERA
224,4 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,799 / sq ft", 3.96 Cr,5080 ,Gandipet,approval by RERA
225,3 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,799 / sq ft", 2.98 Cr,3830 ,Gandipet,approval by RERA
226,3 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,799 / sq ft", 2.98 Cr,3830 ,Gandipet,approval by RERA
227,3 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,803 / sq ft", 1.32 Cr,1695 ,Gandipet,approval by RERA
228,3 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,803 / sq ft", 1.32 Cr,1695 ,Gandipet,approval by RERA
229,4 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,799 / sq ft", 2.75 Cr,3530 ,Gandipet,approval by RERA
230,4 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"7,799 / sq ft", 2.75 Cr,3530 ,Gandipet,approval by RERA
231,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,998 / sq ft", 74.72 L,1495 ,Kollur,approval by RERA
232,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,998 / sq ft", 94.71 L,1895 ,Kollur,approval by RERA
233,4 BHK Villa in IRA Elevate Villas,Ira Reality,Under Construction,"11,000 / sq ft", 6.73 Cr,6125 ,Mamidipally,approval by RERA
234,4 BHK Villa in IRA Elevate Villas,Ira Reality,Under Construction,"11,000 / sq ft", 6.71 Cr,6105 ,Mamidipally,approval by RERA
235,3 BHK Apartment in IRA Miracle,Ira Reality,Under Construction,"5,299 / sq ft", 1.14 Cr,2155 ,Kollur,approval by RERA
236,3 BHK Apartment in IRA Miracle,Ira Reality,Under Construction,"5,299 / sq ft", 1.3 Cr,2455 ,Kollur,approval by RERA
237,3 BHK Apartment in IRA Miracle,Ira Reality,Under Construction,"5,299 / sq ft", 98.29 L,1855 ,Kollur,approval by RERA
238,3 BHK Apartment in IRA Miracle,Ira Reality,Under Construction,"5,299 / sq ft", 87.69 L,1655 ,Kollur,approval by RERA
239,3 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,501 / sq ft", 1.1 Cr,1471 ,Kokapet,approval by RERA
240,3 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,499 / sq ft", 1.57 Cr,2100 ,Kokapet,approval by RERA
241,3 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,499 / sq ft", 1.46 Cr,1950 ,Kokapet,approval by RERA
242,2 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,501 / sq ft", 80.64 L,1075 ,Kokapet,approval by RERA
243,4 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,501 / sq ft", 1.8 Cr,2401 ,Kokapet,approval by RERA
244,3 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,499 / sq ft", 1.36 Cr,1825 ,Kokapet,approval by RERA
245,3 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,499 / sq ft", 1.24 Cr,1660 ,Kokapet,approval by RERA
246,2 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,501 / sq ft", 90.76 L,1210 ,Kokapet,approval by RERA
247,3 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,501 / sq ft", 1.65 Cr,2211 ,Kokapet,approval by RERA
248,3 BHK Apartment in Cybercity Westbrook,Cyber City Oriana,Under Construction,"7,499 / sq ft", 1.29 Cr,1730 ,Kokapet,approval by RERA
249,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.79 Cr,2810 ,Manikonda,approval by RERA
250,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.09 Cr,1704 ,Manikonda,approval by RERA
251,2 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 92.16 L,1440 ,Manikonda,approval by RERA
252,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.18 Cr,1847 ,Manikonda,approval by RERA
253,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.13 Cr,1780 ,Manikonda,approval by RERA
254,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.79 Cr,2810 ,Manikonda,approval by RERA
255,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.61 Cr,2521 ,Manikonda,approval by RERA
256,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.09 Cr,1704 ,Manikonda,approval by RERA
257,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.29 Cr,2019 ,Manikonda,approval by RERA
258,2 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 92.16 L,1440 ,Manikonda,approval by RERA
259,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.16 Cr,1821 ,Manikonda,approval by RERA
260,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.18 Cr,1847 ,Manikonda,approval by RERA
261,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.25 Cr,1960 ,Manikonda,approval by RERA
262,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.13 Cr,1780 ,Manikonda,approval by RERA
263,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.16 Cr,1825 ,Manikonda,approval by RERA
264,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.61 Cr,2521 ,Manikonda,approval by RERA
265,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.12 Cr,1758 ,Manikonda,approval by RERA
266,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.29 Cr,2019 ,Manikonda,approval by RERA
267,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.16 Cr,1821 ,Manikonda,approval by RERA
268,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.21 Cr,1896 ,Manikonda,approval by RERA
269,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.25 Cr,1960 ,Manikonda,approval by RERA
270,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.16 Cr,1825 ,Manikonda,approval by RERA
271,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.17 Cr,1830 ,Manikonda,approval by RERA
272,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.12 Cr,1758 ,Manikonda,approval by RERA
273,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.15 Cr,1803 ,Manikonda,approval by RERA
274,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.21 Cr,1896 ,Manikonda,approval by RERA
275,2 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 85.88 L,1342 ,Manikonda,approval by RERA
276,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.17 Cr,1830 ,Manikonda,approval by RERA
277,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.19 Cr,1872 ,Manikonda,approval by RERA
278,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.15 Cr,1803 ,Manikonda,approval by RERA
279,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.24 Cr,1941 ,Manikonda,approval by RERA
280,2 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 85.88 L,1342 ,Manikonda,approval by RERA
281,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.19 Cr,1872 ,Manikonda,approval by RERA
282,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.03 Cr,1616 ,Manikonda,approval by RERA
283,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.24 Cr,1941 ,Manikonda,approval by RERA
284,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.73 Cr,2712 ,Manikonda,approval by RERA
285,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.03 Cr,1616 ,Manikonda,approval by RERA
286,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.14 Cr,1785 ,Manikonda,approval by RERA
287,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.73 Cr,2712 ,Manikonda,approval by RERA
288,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.14 Cr,1785 ,Manikonda,approval by RERA
289,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.57 Cr,2468 ,Manikonda,approval by RERA
290,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.57 Cr,2468 ,Manikonda,approval by RERA
291,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.69 Cr,2780 ,Yapral,approval by RERA
292,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.26 Cr,2070 ,Yapral,approval by RERA
293,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 93.49 L,1612 ,Saidabad,approval by RERA
294,2 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 74.53 L,1285 ,Saidabad,approval by RERA
295,2 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 60.9 L,1050 ,Saidabad,approval by RERA
296,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 81.02 L,1397 ,Saidabad,approval by RERA
297,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 80.91 L,1395 ,Saidabad,approval by RERA
298,3 BHK Apartment in Sterling Orchids,Sterling Homes PvtLtd,Under Construction,"4,799 / sq ft", 93.58 L,1950 ,Mallampet,approval by RERA
299,3 BHK Apartment in Sterling Orchids,Sterling Homes PvtLtd,Under Construction,"4,799 / sq ft", 77.98 L,1625 ,Mallampet,approval by RERA
300,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.34 Cr,2200 ,Sainikpuri,approval by RERA
301,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.33 Cr,2195 ,Sainikpuri,approval by RERA
302,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.29 Cr,2130 ,Sainikpuri,approval by RERA
303,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.3 Cr,2140 ,Sainikpuri,approval by RERA
304,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 1.24 Cr,2500 ,Rameswaram Banda,not approval by RERA
305,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 1.2 Cr,2420 ,Rameswaram Banda,not approval by RERA
306,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 99.98 L,2000 ,Rameswaram Banda,not approval by RERA
307,2 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 65.96 L,1305 ,Pocharam,approval by RERA
308,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 86.44 L,1710 ,Pocharam,approval by RERA
309,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 1.17 Cr,2315 ,Pocharam,approval by RERA
310,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 1.06 Cr,2115 ,Pocharam,approval by RERA
311,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 96.8 L,1915 ,Pocharam,approval by RERA
